segment_id	class	SumIntensity	Area	Normalized
1	4	0	8	0
2	5	0	22	0
3	5	0	1	0
4	1	0	575	0
5	5	0	8	0
6	5	0	124	0
7	1	32	151	0.2119205
8	1	0	60	0
9	3	266	806	0.3300248
10	3	0	33	0
11	5	30	874	0.03432494
12	5	0	1	0
13	1	0	606	0
14	5	0	9	0
15	1	0	195	0
16	1	0	148	0
17	1	0	183	0
18	1	0	68	0
19	1	0	226	0
20	1	0	76	0
21	1	0	574	0
22	1	49	127	0.3858268
23	1	3	1249	0.002401921
24	6	0	4	0
25	6	0	504	0
26	1	216	11599	0.0186223
27	6	0	1	0
28	6	0	2	0
29	1	0	923	0
30	2	0	90	0
31	2	0	2447	0
32	2	0	73	0
33	2	0	1061	0
34	2	0	58	0
35	3	0	274	0
36	1	0	4867	0
37	1	0	695	0
38	3	0	3717	0
39	3	0	71	0
40	3	0	118	0
41	3	0	556	0
42	3	0	77	0
43	3	0	3541	0
44	3	0	1002	0
45	3	0	1241	0
46	3	0	77	0
47	3	0	197	0
48	3	0	1960	0
49	3	0	46	0
50	3	0	58	0
51	6	0	431	0
52	3	0	2315	0
53	6	0	26	0
54	6	0	6	0
55	6	0	12	0
56	1	76	7987	0.009515462
57	1	0	691	0
58	4	0	23	0
59	4	0	6	0
60	4	0	7	0
61	4	0	98	0
62	4	0	2	0
63	4	0	1	0
64	6	0	4	0
65	4	0	676	0
66	6	0	3	0
67	4	0	289	0
68	6	0	846	0
69	4	0	9	0
70	6	0	1	0
71	4	0	6	0
72	6	0	1	0
73	4	19	1590	0.01194969
74	1	0	205	0
75	4	0	14	0
76	4	0	856	0
77	3	0	771	0
78	3	0	17	0
79	3	0	67	0
80	3	0	583	0
81	3	0	162	0
82	3	0	63	0
83	3	0	49	0
84	3	0	102	0
85	3	0	53	0
86	3	0	2816	0
87	3	0	87	0
88	3	0	11	0
89	3	0	28	0
90	3	0	567	0
91	3	0	62	0
92	3	0	45	0
93	3	0	68	0
94	4	0	3	0
95	3	0	803	0
96	3	3	64	0.046875
97	1	650	11096	0.05857967
98	6	0	1	0
99	4	0	1	0
100	6	0	8	0
101	6	0	1	0
102	6	0	47	0
103	6	0	86	0
104	6	0	4	0
105	4	0	1	0
106	4	0	1	0
107	6	128	414	0.3091787
108	6	99	226	0.4380531
109	6	0	4	0
110	6	0	1	0
111	6	0	8	0
112	6	0	911	0
113	4	0	12	0
114	4	0	2	0
115	6	0	3	0
116	6	0	1	0
117	6	0	13	0
118	6	0	2	0
119	6	0	36	0
120	4	114	945	0.1206349
121	6	0	1	0
122	4	0	2	0
123	6	0	1	0
124	4	0	1	0
125	5	0	688	0
126	5	0	5	0
127	5	0	2	0
128	5	0	1	0
129	4	18	2732	0.00658858
130	4	0	91	0
131	4	0	1	0
132	4	0	1	0
133	4	0	8	0
134	4	3	579	0.005181347
135	4	0	1	0
136	4	0	14	0
137	4	0	18	0
138	4	0	26	0
139	4	0	58	0
140	4	0	87	0
141	4	0	2	0
142	4	0	17	0
143	4	0	280	0
144	4	0	4	0
145	4	0	13	0
146	4	0	538	0
147	4	0	660	0
148	4	0	11	0
149	4	56	1063	0.05268109
150	4	0	1	0
151	4	0	1102	0
152	1	0	128	0
153	4	0	246	0
154	1	0	2105	0
155	5	0	4	0
156	5	48	822	0.05839416
157	5	0	6	0
158	5	0	50	0
159	4	0	454	0
160	4	0	1682	0
161	4	0	20	0
162	4	0	12	0
163	4	0	7	0
164	1	44	10854	0.004053805
165	3	156	4546	0.03431588
166	3	0	52	0
167	3	0	114	0
168	6	0	1	0
169	5	0	1301	0
170	5	0	16	0
171	5	0	260	0
172	5	0	38	0
173	5	0	44	0
174	5	0	1	0
175	4	0	4	0
176	1	0	1325	0
177	4	0	3	0
178	4	0	2	0
179	4	0	48	0
180	1	68	6856	0.00991832
181	6	0	1	0
182	6	0	1267	0
183	1	0	697	0
184	1	0	2975	0
185	1	0	325	0
186	4	0	18	0
187	4	0	4	0
188	4	0	472	0
189	6	0	5	0
190	4	0	2	0
191	1	0	2461	0
192	1	0	1613	0
193	1	0	2512	0
194	3	0	2821	0
195	1	0	2638	0
196	5	0	548	0
197	1	0	5241	0
198	5	0	7	0
199	5	0	21	0
200	5	0	16	0
201	5	0	736	0
202	2	0	169	0
203	2	0	1458	0
204	2	0	1449	0
205	2	0	93	0
206	2	0	266	0
207	2	0	1147	0
208	2	0	39	0
209	2	0	158	0
210	2	0	234	0
211	2	0	1536	0
212	2	0	1327	0
213	2	0	179	0
214	2	0	3089	0
215	2	0	93	0
216	5	0	814	0
217	2	0	442	0
218	6	0	126	0
219	6	0	492	0
220	6	0	3	0
221	1	0	1400	0
222	1	0	48	0
223	1	0	917	0
224	1	0	195	0
225	6	0	475	0
226	1	0	1323	0
227	6	0	659	0
228	1	0	5461	0
229	3	0	543	0
230	6	0	2	0
231	6	0	136	0
232	1	0	847	0
233	4	0	5	0
234	6	0	196	0
235	1	0	2210	0
236	1	0	3482	0
237	4	0	7	0
238	6	0	1101	0
239	1	0	4304	0
240	4	0	22	0
241	2	0	667	0
242	2	0	42	0
243	2	0	51	0
244	2	53	1635	0.0324159
245	4	0	196	0
246	2	0	75	0
247	3	0	807	0
248	3	251	776	0.3234536
249	3	0	35	0
250	6	0	23	0
251	6	0	153	0
252	4	0	1	0
253	6	0	26	0
254	6	0	1	0
255	6	10	589	0.01697793
256	3	0	70	0
257	3	65	1322	0.04916793
258	4	0	17	0
259	3	0	2336	0
260	3	0	55	0
261	3	0	280	0
262	3	0	72	0
263	3	0	980	0
264	5	0	10	0
265	5	0	4	0
266	5	0	5	0
267	5	0	63	0
268	5	11	770	0.01428571
269	3	2	1097	0.001823154
270	4	0	5	0
271	4	12	50	0.24
272	4	310	1009	0.3072349
273	5	4	69	0.05797102
274	4	0	8	0
275	4	0	2	0
276	4	0	4	0
277	4	0	4	0
278	4	0	2	0
279	4	2	2	1
280	4	11	11	1
281	4	0	17	0
282	1	204	4870	0.04188912
283	4	0	5	0
284	4	0	25	0
285	4	0	2	0
286	1	190	730	0.260274
287	6	0	1	0
288	6	70	675	0.1037037
289	6	0	48	0
290	6	0	3	0
291	4	0	7	0
292	4	326	1295	0.2517374
293	4	1	18	0.05555556
294	1	0	525	0
295	1	0	1042	0
296	1	7	364	0.01923077
297	1	0	1423	0
298	4	0	3	0
299	4	0	4	0
300	4	0	25	0
301	1	0	4713	0
302	3	0	140	0
303	3	0	12	0
304	1	0	215	0
305	1	0	135	0
306	1	0	337	0
307	1	0	731	0
308	6	0	2	0
309	1	0	807	0
310	6	0	5	0
311	1	0	387	0
312	1	0	631	0
313	3	0	34	0
314	3	0	38	0
315	3	0	58	0
316	3	0	48	0
317	1	0	153	0
318	6	0	5	0
319	4	0	4	0
320	6	0	3	0
321	3	0	147	0
322	6	0	1	0
323	4	0	46	0
324	4	0	5	0
325	4	0	11	0
326	4	0	2	0
327	4	0	7	0
328	4	0	16	0
329	4	0	6	0
330	4	0	4	0
331	4	0	45	0
332	4	0	2	0
333	4	0	170	0
334	4	0	21	0
335	4	0	104	0
336	4	0	2	0
337	4	0	12	0
338	4	166	897	0.1850613
339	4	0	7	0
340	4	0	1	0
341	4	0	6	0
342	4	25	362	0.06906077
343	6	0	6	0
344	1	159	975	0.1630769
345	1	0	189	0
346	3	0	20	0
347	3	0	108	0
348	3	0	53	0
349	3	0	100	0
350	3	0	100	0
351	5	0	4	0
352	5	0	210	0
353	5	0	429	0
354	5	0	10	0
355	5	0	1	0
356	5	0	55	0
357	5	0	215	0
358	6	0	2	0
359	6	0	3	0
360	6	0	10	0
361	6	0	3	0
362	6	0	108	0
363	6	0	95	0
364	6	0	5	0
365	6	0	2	0
366	6	0	6	0
367	1	0	3130	0
368	5	0	11	0
369	2	0	201	0
370	2	0	584	0
371	2	0	951	0
372	3	0	122	0
373	3	0	107	0
374	3	0	42	0
375	3	0	52	0
376	3	0	99	0
377	2	0	3550	0
378	5	40	605	0.0661157
379	5	0	3	0
380	5	0	1	0
381	5	0	8	0
382	5	0	17	0
383	5	0	12	0
384	5	0	3	0
385	4	0	1	0
386	4	0	65	0
387	4	0	6	0
388	4	0	2	0
389	4	0	4	0
390	5	0	7	0
391	5	0	1	0
392	5	0	2	0
393	6	0	22	0
394	5	0	1	0
395	5	0	21	0
396	6	0	5	0
397	4	20	2446	0.008176615
398	4	0	4	0
399	4	0	24	0
400	6	0	203	0
401	6	0	1	0
402	4	0	280	0
403	4	0	1	0
404	4	0	4	0
405	4	0	3	0
406	4	6	305	0.01967213
407	4	0	4	0
408	4	0	5	0
409	6	0	4	0
410	4	0	56	0
411	6	0	4	0
412	6	0	2	0
413	6	0	3	0
414	3	117	858	0.1363636
415	3	334	1929	0.1731467
416	3	0	48	0
417	6	0	4	0
418	2	47	1384	0.03395954
419	2	0	29	0
420	2	0	111	0
421	2	0	1354	0
422	2	0	248	0
423	2	0	101	0
424	2	0	140	0
425	1	14	3074	0.004554327
426	5	0	9	0
427	5	0	3	0
428	5	0	10	0
429	1	44	11204	0.003927169
430	6	303	1745	0.173639
431	3	0	23	0
432	4	0	239	0
433	3	0	143	0
434	3	0	52	0
435	4	0	2925	0
436	1	0	2196	0
437	5	0	854	0
438	3	0	960	0
439	6	0	145	0
440	6	0	40	0
441	6	0	44	0
442	4	0	6	0
443	6	0	3	0
444	6	0	177	0
445	6	0	604	0
446	6	0	227	0
447	6	0	1	0
448	3	0	2654	0
449	6	0	2	0
450	6	0	235	0
451	6	0	1212	0
452	6	0	9	0
453	6	0	1041	0
454	6	0	1	0
455	6	0	6	0
456	3	0	424	0
457	3	0	51	0
458	3	0	440	0
459	3	0	28	0
460	3	0	22	0
461	1	0	239	0
462	1	0	117	0
463	1	0	204	0
464	1	0	343	0
465	1	0	3647	0
466	6	0	1126	0
467	4	0	9	0
468	4	0	2	0
469	5	0	369	0
470	3	0	125	0
471	1	0	1381	0
472	3	0	1517	0
473	4	0	1	0
474	5	0	1169	0
475	5	0	1	0
476	5	0	7	0
477	5	0	4	0
478	5	0	525	0
479	4	0	7	0
480	1	0	118	0
481	1	0	21	0
482	5	142	1469	0.0966644
483	5	0	2	0
484	5	0	1	0
485	5	12	5970	0.00201005
486	5	0	4	0
487	5	0	1	0
488	5	0	1	0
489	1	24	3480	0.006896552
490	5	0	4	0
491	5	0	1	0
492	6	0	14	0
493	1	109	5303	0.0205544
494	5	0	1	0
495	5	143	5454	0.02621929
496	5	0	7	0
497	5	0	6	0
498	1	0	2276	0
499	1	0	3226	0
500	3	0	556	0
501	3	0	56	0
502	1	0	59	0
503	6	0	1	0
504	6	0	98	0
505	4	0	205	0
506	4	0	64	0
507	4	0	19	0
508	4	0	1	0
509	4	42	996	0.04216867
510	4	0	20	0
511	4	0	3	0
512	4	2	2	1
513	4	0	1	0
514	6	0	3	0
515	2	0	60	0
516	2	0	38	0
517	2	0	80	0
518	6	0	1	0
519	6	0	29	0
520	6	0	6	0
521	6	0	2	0
522	6	0	547	0
523	6	0	4	0
524	6	0	2	0
525	6	0	521	0
526	4	0	1	0
527	4	0	6	0
528	3	0	42	0
529	3	19	742	0.02560647
530	5	0	18	0
531	5	1264	10322	0.1224569
532	3	0	170	0
533	3	0	59	0
534	3	159	1551	0.1025145
535	3	0	54	0
536	3	0	1767	0
537	1	0	105	0
538	1	0	64	0
539	6	0	13	0
540	5	0	450	0
541	5	0	1	0
542	5	0	6	0
543	5	0	2	0
544	5	198	10614	0.01865461
545	5	0	1	0
546	5	0	6	0
547	5	0	8	0
548	5	0	1	0
549	5	0	1	0
550	4	0	760	0
551	5	0	37	0
552	4	0	1	0
553	4	0	2	0
554	4	0	26	0
555	4	0	1	0
556	4	0	2	0
557	4	0	3	0
558	4	13	13	1
559	4	0	1	0
560	4	0	1	0
561	4	0	148	0
562	4	0	5	0
563	4	0	20	0
564	1	349	14197	0.02458266
565	6	0	1	0
566	4	0	16	0
567	5	1	1	1
568	5	0	19	0
569	5	169	11006	0.01535526
570	5	0	791	0
571	5	0	5	0
572	5	0	1	0
573	3	0	3953	0
574	4	0	253	0
575	4	0	41	0
576	4	48	1391	0.03450755
577	3	0	23	0
578	3	0	171	0
579	3	0	55	0
580	3	33	1093	0.03019213
581	3	0	51	0
582	3	0	89	0
583	3	0	15	0
