segment_id	class	SumIntensity_Cy5	SumIntensity_FITC	SumIntensity_TRITC	Area
1	4	0.01589971	0	0.01799479	52
2	4	0.02449349	0	0	104
3	2	0.7304382	0.6271994	0	1779
4	1	5.908421	0	2.992161	4593
5	5	0.1381344	0.3039666	0	359
6	3	6.719627	2.125227	0.2035189	1805
7	1	16.05982	10.56576	5.639817	7107
8	4	0	0.06839933	1.388968	128
9	2	1.412471	1.250231	0	1643
10	3	2.520443	3.557867	0.9994384	1390
11	3	0.294981	1.859018	0	1132
12	4	0.01119169	0	0	103
13	4	0	2.621573	0	181
14	4	0	1.165781	0	109
15	4	0	1.590514	0	171
16	4	0	0.1862836	0	19
17	2	0.2334478	1.830425	0.1945913	2636
18	2	1.063115	4.636882	0	3097
19	4	0.009804116	0	0	261
20	1	4.846998	4.493729	0.6617897	3943
21	4	4.938378e-16	0	0	313
22	2	4.403795	3.093397	0	1870
23	4	0	0	0	7
24	1	9.902044	9.583819	0	5336
25	4	2.147304e-18	0	0	4
26	1	1.243633	2.725125	0.006687276	1834
27	1	0.9770355	0	0.7553844	2552
28	1	0.4886211	0	1.085436	2677
29	2	0.4663651	1.043499	0.219143	1158
30	2	1.893436	2.528075	0.561433	1586
31	2	0.4661909	0	1.938225	1114
32	4	0	0.1355999	0	144
33	4	0.05947152	0	0.04970458	223
34	2	0.3035717	2.68467	1.57421	1830
35	1	0.1689998	0	0.02819272	4354
36	1	1.342614	0	4.505131	4457
37	2	0.1296493	1.473035	0	679
38	2	1.582594	2.469068	0.4988571	1904
39	2	0.2851008	1.303731	0	1856
40	2	1.423618	3.313545	0.3847696	1952
41	2	0.1091126	0	0.03651651	982
42	2	0.0004052027	1.637986	0.8231198	1408
43	4	0.03247495	0	0.09168022	136
44	1	0.06203168	0	0	1953
45	2	0.2347591	0.2892182	0.01219578	1085
46	3	0.1864155	1.451515	3.728317	1579
47	1	0.5525667	1.101638	0	4469
48	1	0.5759237	0.03652349	0	3049
49	3	0.6672867	1.054747	3.059351	1202
50	2	1.135743	0.1773138	0	1521
51	3	3.244831	1.496662	1.629606	1340
52	2	0.6536036	0.373912	0.05609922	1023
53	1	1.253518	0.5433494	0.538869	4054
54	3	0.3296654	0.3105848	0	980
55	1	0.4211371	0.04309144	0	2340
56	3	0.03490016	0.886071	4.893353	1527
57	2	0.5355154	0.9398237	0.288076	974
58	5	0.07856609	0.05011179	0	131
59	3	0.453031	0.3881072	0.4444523	1038
60	4	0	0	0	4
61	3	0.3729502	0.448933	1.286896	855
62	3	0.2213185	0.7105515	0	1087
63	2	0.00302015	0.8939353	0	1266
64	5	0.04567314	0.2619514	0	121
65	5	0.134584	0.1379003	0.09774476	303
66	4	0	0.10346	0	17
67	4	0	0.02796914	0	5
68	4	0	0.0152983	0	17
69	1	1.536485	0.184308	3.572693	5431
70	4	0	0.4749468	0	408
71	4	0	0.150078	0	37
72	1	2.242996	0.1099268	0.6509016	2668
73	2	2.508931	5.699458	6.630394	3171
74	3	3.621384	1.475504	1.214218	2784
75	3	0.008028225	0	0	377
76	1	0.7963147	0.1714522	0.00533489	3547
77	2	1.414013	1.492208	0	838
78	3	0.1389247	0	0	687
79	2	12.85749	11.56563	3.277152	2223
80	1	0.998024	0.7849531	2.190166	5433
81	2	0.008175213	0.2290848	0	478
82	2	0.7746911	2.446152	0	2416
83	1	2.732176	1.362553	0.5078192	3346
84	2	7.003304	5.712691	1.037078	2895
85	2	1.735116	1.642033	0.3747613	897
86	5	0	0.0001681827	0	1
87	5	0	0.7459921	0.6848513	196
88	3	2.010066	2.335546	0	1746
89	3	0	0.4232969	0	926
90	3	8.914698	11.72866	0.07263405	4739
91	3	1.870881	2.202844	0.1720295	1377
92	3	1.058962	2.748262	0.7852528	2096
93	3	1.795497	1.861513	0.1295177	801
94	3	0	2.701717	0	990
95	3	3.044699	4.101723	0	1709
96	4	0	0.4443434	0	89
97	2	0	0.8428888	0	185
98	4	0	0.1148412	0	42
99	4	0	0	0	1
100	4	0	0.1858095	0	147
101	1	0.3842186	12.53737	0	3652
102	1	0	5.384752	0	2828
103	4	0	0.006296128	0	2
104	3	0	2.970711	0	1262
105	2	0.950308	1.528549	0	1450
106	2	1.748436	4.542019	0.439703	2962
107	3	0	0.5437246	0	972
108	3	2.51227	2.078504	0	2116
109	3	0.3225619	1.943604	0	905
110	2	1.590586	1.983334	0	2231
111	2	10.16802	4.968615	0.1253789	4044
112	1	2.675978	1.410805	0.8515548	3174
113	3	0.02348315	0	0	117
114	2	0	2.05607	0.003070606	1657
115	2	0	0.2618728	0	59
116	2	0	0.2586928	0	105
117	2	2.885461	4.525036	0	1493
118	2	0	0.460927	0	100
119	3	0.05808184	2.874141	0	758
120	3	1.251341	4.043074	1.138146	2147
121	4	0.003532899	0.03442737	0	10
122	1	7.901695	5.292463	0.08824684	4893
123	1	7.694035	11.53411	8.503637	6062
124	1	0.2951415	3.324614	1.862557	3354
125	1	1.24605	1.137659	0	1161
126	1	0.4052989	4.98333	0	3481
127	4	0	0.04941302	0	28
128	1	0.6719897	1.25193	0.5477065	843
129	3	0.4651615	0.8462189	0	1562
130	3	0.4610383	0.9301752	0	930
131	3	3.84673	1.02674	3.315972	1169
132	1	3.755938	3.171664	2.212123	3821
133	2	1.161037	2.128319	0.1948018	1929
134	5	0.09004683	0.4113889	0	331
135	2	0.5928088	0.7001953	0.0310926	2317
136	2	0.7716913	1.964715	4.195546e-06	2352
137	2	0.2148313	0.3269313	0	1487
138	5	0.0772131	0.1912578	0	240
139	2	0.7334454	1.120692	0	1995
140	5	0.02280656	0.01984628	0	51
141	2	0.3192694	0.5179312	0	2259
142	2	0.8869435	1.194772	0.3294212	2734
143	2	1.011909	1.455783	0	2453
144	2	0.578145	0.4695964	0.630888	1542
145	5	1.300318	4.424284	1.832326	4755
146	2	0.6591707	1.142104	0.2174125	2252
147	2	0.7714533	0.4117512	0	2109
148	2	0.5786654	1.738882	0	2361
149	5	1.386933	3.800538	4.20889	4203
150	2	0.3452895	0.5120187	0	528
151	2	3.201689	2.625813	7.935074	2736
152	5	0	0.0715405	0.05353059	136
153	1	5.482778	5.725633	0.09580106	5562
154	2	0.302984	1.212168	0.5254572	1797
155	4	0	0.2096593	0	53
156	4	0	0.0186546	0	5
157	4	0	0.2962502	0	54
158	1	6.473428	15.3962	10.28227	5332
159	2	0.1251719	0.07696892	0	301
160	1	1.225253	3.058604	0.0005766558	4679
161	1	2.195738	2.626809	0.2110622	3270
162	1	5.458305	4.949926	0.9528949	5447
163	3	0.1316761	4.172829	0	1254
164	2	0	10.61249	0	1822
165	3	1.540383	0.9253833	0	1122
166	5	0	0.1197261	0	269
167	5	0	1.720242	0	304
168	2	3.512677	2.159005	0	994
